"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"452-662","23305","Lipska","","51.144812","16.986769","","","0","","","0","",""
"452-667","23150","Paprotna","","51.147752","17.020539","","","0","","","0","",""
"452-669","23152","Irysowa","","51.150647","17.017895","","","0","","","0","",""
"452-670","23151","Irysowa","","51.151432","17.017385","","","0","","","0","",""
"452-684","23126","Kępińska","","51.144206","17.030821","","","0","","","0","",""
"452-685","23125","Kępińska","","51.14441","17.031431","","","0","","","0","",""
"452-690","23530","Widawa","","51.175307","17.022776","","","0","","","0","",""
"452-691","23529","Widawa","","51.175761","17.023219","","","0","","","0","",""
"452-711","29103","Psie Pole","","51.145551","17.110999","","","0","","","0","",""
"452-715","29531","Przedwiośnie (Stacja kolejowa)","","51.160249","17.121009","","","0","","","0","",""
"452-735","29105","Psie Pole (Stacja kolejowa)","","51.149682","17.120005","","","0","","","0","",""
"452-762","29124","Gorlicka","","51.14381","17.119379","","","0","","","0","",""
"452-763","29123","Gorlicka","","51.143258","17.120502","","","0","","","0","",""
"452-764","29304","Zgorzelisko","","51.138926","17.130613","","","0","","","0","",""
"452-791","18357","Mokra","","51.17146","16.837744","","","0","","","0","",""
"452-792","18358","Mokra","","51.171562","16.837354","","","0","","","0","",""
"452-798","18742","Pracze Odrzańskie","","51.174254","16.90825","","","0","","","0","",""
"452-799","18743","Pracze Odrzańskie","","51.174262","16.905328","","","0","","","0","",""
"452-800","18511","Jędrzejowska","","51.158365","16.916888","","","0","","","0","",""
"452-812","11729","Oporów","","51.083929","16.970916","","","0","","","0","",""
"452-818","120616","Dworzec Nadodrze","","51.124854","17.034874","","","0","","","0","",""
"452-829","120852","Prusa","","51.119862","17.056374","","","0","","","0","",""
"452-830","120851","Prusa","","51.119769","17.05656","","","0","","","0","",""
"452-645","23161","Mochnackiego","","51.141985","17.036601","","","0","","","0","",""
"452-647","23124","Kamieńskiego","","51.139561","17.032715","","","0","","","0","",""
"452-651","23113","Różanka","","51.139503","17.021693","","","0","","","0","",""
"452-663","23304","Jarocińska","","51.14192","16.990604","","","0","","","0","",""
"452-668","23149","Paprotna","","51.148181","17.020627","","","0","","","0","",""
"452-674","23508","Kominiarska","","51.168927","16.997145","","","0","","","0","",""
"452-686","23526","Lekarska","","51.160431","17.027366","","","0","","","0","",""
"452-696","21370004","Szymanów - skrzyż.","","51.188407","17.030504","","","0","","","0","",""
"452-698","23164","Jutrosińska","","51.147022","17.041995","","","0","","","0","",""
"452-699","23556","Ługowa","","51.158779","17.044439","","","0","","","0","",""
"452-701","23553","Kątowa","","51.156194","17.044383","","","0","","","0","",""
"452-707","24108","C.H. Korona","","51.141104","17.08765","","","0","","","0","",""
"452-728","29509","Zakrzów","","51.162013","17.12469","","","0","","","0","",""
"452-730","29521","Królewska","","51.155552","17.129248","","","0","","","0","",""
"452-761","29315","Żmudzka","","51.144681","17.140957","","","0","","","0","",""
"452-766","29302","Palacha","","51.140572","17.126431","","","0","","","0","",""
"452-774","31917012","Kiełczów - osiedle","","51.132544","17.172508","","","0","","","0","",""
"452-777","31917013","Kiełczów - Wodrol","","51.134601","17.1753","","","0","","","0","",""
"452-780","23712","Kasprowicza","","51.138007","17.053719","","","0","","","0","",""
"452-784","11537","Gajowicka","","51.089096","17.006736","","","0","","","0","",""
"452-789","17505","Przybyły","","51.108985","16.917131","","","0","","","0","",""
"452-816","120613","Paulińska","","51.12029","17.035428","","","0","","","0","",""
"452-820","120666","Słowiańska","","51.12352","17.040495","","","0","","","0","",""
"452-822","120626","Jedności Narodowej","","51.121548","17.043552","","","0","","","0","",""
